"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AUS088-Set7aB11_S23.final.scaffolds.fasta.nohead.fasta","AUS089-Set7bE2_S2.final.scaffolds.fasta.nohead.fasta","AUS52.fasta","DUN-003B-Set9aC9_S33.final.scaffolds.fasta.nohead.fasta","DUN-004-Set9aC10_S34.final.scaffolds.fasta.nohead.fasta","ILPAO1.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MC_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MF_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MH_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MJ_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","MK_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_post.fasta.BRIGfmt.fasta.BRIGfmt.fasta","M_pre.fasta.BRIGfmt.fasta.BRIGfmt.fasta","Pseudomonas_aeruginosa_PAO1_107.fna"
"pstC_1","","Phosphate transport system permease protein PstC","2","2","1","1","2929","1","1679","","575","959","767","","","","","","","","","","","CABJIOEI_00988","","","LGGGIJGP_01796","","","","",""
"group_23","aroH_1","Phospho-2-dehydro-3-deoxyheptonate aldolase","2","2","1","1","667","1","5466","","1007","1283","1145","","","","","","","","","","","","GNFPCNDJ_00037","","","","","","JKFCCDBN_03483",""
"group_2304","","hypothetical protein","2","2","1","1","5172","1","7130","","89","1064","576","","","","","","","","","","","CABJIOEI_03838","","","LGGGIJGP_00870","","","","",""
"sufC","","putative ATP-dependent transporter SufC","2","2","1","1","4073","1","5922","","377","650","513","","","","","","","","","","","CABJIOEI_01884","","","LGGGIJGP_00766","","","","",""
"ybbW","","Putative allantoin permease","2","2","1","1","2271","1","3781","","725","1163","944","","","","","","","","","","","CABJIOEI_03542","","","LGGGIJGP_03097","","","","",""
"group_2312","dinG_3","putative ATP-dependent helicase DinG","2","2","1","1","6580","1","3331","","818","1910","1364","","","","","","","","","","","CABJIOEI_01053","","","LGGGIJGP_04378","","","","",""
"group_2315","ivy_1","Inhibitor of vertebrate lysozyme","2","2","1","1","5244","1","407","","326","473","399","","","","","","","","","","","CABJIOEI_02048","","","LGGGIJGP_04752","","","","",""
"rimO_4","","Ribosomal protein S12 methylthiotransferase RimO","2","2","1","1","6010","1","494","","536","1325","930","","","","","","","","","","","CABJIOEI_04132","","","LGGGIJGP_03258","","","","",""
"manY","","PTS system mannose-specific EIIC component","2","2","1","1","1969","1","4805","","188","719","453","","","","","","","","","","","CABJIOEI_01084","","","LGGGIJGP_01762","","","","",""
"manX_3","","PTS system mannose-specific EIIAB component","2","2","1","1","1970","1","4798","","506","971","738","","","","","","","","","","","CABJIOEI_01085","","","LGGGIJGP_01763","","","","",""
"group_2326","","hypothetical protein","2","2","1","1","2113","1","5715","","239","893","566","","","","","","","","","","","CABJIOEI_01445","","","LGGGIJGP_03092","","","","",""
"ampC_1","","Beta-lactamase","2","2","1","1","1390","1","274","","248","857","552","","","","","","","","","","","CABJIOEI_01109","","","LGGGIJGP_00948","","","","",""
"group_2330","nadD_1","Nicotinate-nucleotide adenylyltransferase","2","2","1","1","2832","1","992","","641","1784","1212","","","","","","","","","","","CABJIOEI_01135","","","LGGGIJGP_03503","","","","",""
"ybhR_1","","Inner membrane transport permease YbhR","2","2","1","1","3748","1","6066","","1079","1106","1092","","","","","","","","","","","CABJIOEI_01140","","","LGGGIJGP_04601","","","","",""
"modA_1","","Molybdate-binding periplasmic protein","2","2","1","1","5080","1","4431","","515","773","644","","","","","","","","","","","CABJIOEI_01549","","","LGGGIJGP_02731","","","","",""
"menD_3","","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase","2","2","1","1","1656","1","474","","200","2084","1142","","","","","","","","","","","CABJIOEI_01175","","","LGGGIJGP_02102","","","","",""
"group_2347","","hypothetical protein","2","2","1","1","4380","1","4551","","752","1148","950","","","","","","","","","","","CABJIOEI_03203","","","LGGGIJGP_03201","","","","",""
"yfgF_2","","Cyclic di-GMP phosphodiesterase YfgF","2","2","1","1","6033","1","644","","1712","2228","1970","","","","","","","","","","","CABJIOEI_01197","","","LGGGIJGP_03254","","","","",""
"cusB","","Cation efflux system protein CusB","2","2","1","1","6952","1","6032","","842","1052","947","","","","","","","","","","","CABJIOEI_01201","","","LGGGIJGP_01307","","","","",""
"phnJ_1","","Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase","2","2","1","1","5447","1","4497","","542","845","693","","","","","","","","","","","CABJIOEI_01217","","","LGGGIJGP_02321","","","","",""
"rseP_1","","Regulator of sigma-E protease RseP","2","2","1","1","1071","1","1850","","500","1277","888","","","","","","","","","","","CABJIOEI_01225","","","LGGGIJGP_01484","","","","",""
"group_2363","cirA_2","Colicin I receptor","2","2","1","1","5328","1","4507","","521","1991","1256","","","","","","","","","","","CABJIOEI_02307","","","LGGGIJGP_03901","","","","",""
"kdpE_2","","KDP operon transcriptional regulatory protein KdpE","2","2","1","1","3839","1","328","","131","677","404","","","","","","","","","","","CABJIOEI_02989","","","LGGGIJGP_02011","","","","",""
"group_2378","aphA_1","Class B acid phosphatase","2","2","1","1","1724","1","1581","","341","524","432","","","","","","","","","","","CABJIOEI_01303","","","LGGGIJGP_02289","","","","",""
"group_2381","pilT_1","Twitching mobility protein","2","2","1","1","4972","1","7301","","980","1550","1265","","","","","","","","","","","CABJIOEI_01323","","","LGGGIJGP_04171","","","","",""
"fimD_3","","Outer membrane usher protein FimD","2","2","1","1","986","1","7759","","956","1895","1425","","","","","","","","","","","CABJIOEI_04014","","","LGGGIJGP_03623","","","","",""
"tgt_2","","Queuine tRNA-ribosyltransferase","2","2","1","1","5859","1","5974","","434","920","677","","","","","","","","","","","CABJIOEI_01349","","","LGGGIJGP_04215","","","","",""
"group_2390","ahpF_2","Alkyl hydroperoxide reductase subunit F","2","2","1","1","6398","1","7119","","581","1103","842","","","","","","","","","","","CABJIOEI_03835","","","LGGGIJGP_02225","","","","",""
"group_2391","pyrC_1","Dihydroorotase","2","2","1","1","1199","1","6808","","434","1046","740","","","","","","","","","","","CABJIOEI_01368","","","LGGGIJGP_04052","","","","",""
"dacD","","D-alanyl-D-alanine carboxypeptidase DacD","2","2","1","1","5529","1","470","","602","1043","822","","","","","","","","","","","CABJIOEI_01374","","","LGGGIJGP_04358","","","","",""
"flgD_2","","Basal-body rod modification protein FlgD","2","2","1","1","5005","1","4316","","344","695","519","","","","","","","","","","","CABJIOEI_01379","","","LGGGIJGP_02284","","","","",""
"rlmD_1","","23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD","2","2","1","1","3714","1","3712","","491","1301","896","","","","","","","","","","","CABJIOEI_01791","","","LGGGIJGP_02824","","","","",""
"yehU_1","","Sensor histidine kinase YehU","2","2","1","1","1007","1","6288","","719","944","831","","","","","","","","","","","CABJIOEI_01391","","","LGGGIJGP_02388","","","","",""
"pheT_1","","Phenylalanine--tRNA ligase beta subunit","2","2","1","1","2049","1","110","","1172","2609","1890","","","","","","","","","","","CABJIOEI_01392","","","LGGGIJGP_03148","","","","",""
"hycE_1","","Formate hydrogenlyase subunit 5","2","2","1","1","4938","1","112","","1052","1709","1380","","","","","","","","","","","CABJIOEI_01394","","","LGGGIJGP_04416","","","","",""
"cpdB_2","","2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase","2","2","1","1","924","1","2158","","587","1343","965","","","","","","","","","","","CABJIOEI_01401","","","LGGGIJGP_04447","","","","",""
"lpxB_1","","Lipid-A-disaccharide synthase","2","2","1","1","3126","1","4680","","470","1169","819","","","","","","","","","","","CABJIOEI_01407","","","LGGGIJGP_00599","","","","",""
"ugd","","UDP-glucose 6-dehydrogenase","2","2","1","1","3125","1","4681","","365","1166","765","","","","","","","","","","","CABJIOEI_01408","","","LGGGIJGP_03881","","","","",""
"group_2424","","hypothetical protein","2","2","1","1","1763","1","6425","","401","1217","809","","","","","","","","","","","CABJIOEI_01873","","","LGGGIJGP_02073","","","","",""
"ybbJ_1","","Beta-glucosidase BoGH3B","2","2","1","1","2780","1","849","","854","854","854","","","","","","","","","","","CABJIOEI_03991","","","LGGGIJGP_02050","","","","",""
"fetA_2","","ATP synthase subunit beta","2","2","1","1","5599","1","3844","","482","1382","932","","","","","","","","","","","CABJIOEI_01433","","","LGGGIJGP_04587","","","","",""
"ilvG_3","","Acetolactate synthase isozyme 2 large subunit","2","2","1","1","1001","1","7532","","317","605","461","","","","","","","","","","","CABJIOEI_01452","","","LGGGIJGP_03067","","","","",""
"group_2437","","hypothetical protein","2","2","1","1","4512","1","3670","","419","626","522","","","","","","","","","","","CABJIOEI_01465","","","LGGGIJGP_00933","","","","",""
"yjeM","","Inner membrane transporter YjeM","2","2","1","1","6709","1","2325","","785","902","843","","","","","","","","","","","CABJIOEI_04532","","","LGGGIJGP_03453","","","","",""
"ydgI_2","","Putative arginine/ornithine antiporter","2","2","1","1","2248","1","4313","","476","1214","845","","","","","","","","","","","CABJIOEI_03582","","","LGGGIJGP_03235","","","","",""
"dsdX_1","","DsdX permease","2","2","1","1","5596","1","7688","","524","1337","930","","","","","","","","","","","CABJIOEI_01479","","","LGGGIJGP_04616","","","","",""
"yihQ","","Sulfoquinovosidase","2","2","1","1","4896","1","2278","","356","2036","1196","","","","","","","","","","","CABJIOEI_01499","","","LGGGIJGP_04336","","","","",""
"nasD_1","","Nitrite reductase [NAD(P)H]","2","2","1","1","3800","1","6400","","410","1049","729","","","","","","","","","","","CABJIOEI_01515","","","LGGGIJGP_04247","","","","",""
"oprB_9","","Porin B","2","2","1","1","5301","1","7293","","308","707","507","","","","","","","","","","LEACNAEK_05346","","","","LGGGIJGP_00437","","","","",""
"cysA_3","","Sulfate/thiosulfate import ATP-binding protein CysA","2","2","1","1","5082","1","7540","","410","701","555","","","","","","","","","","","CABJIOEI_01551","","","LGGGIJGP_02729","","","","",""
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","2","2","1","1","6573","1","6853","","947","1325","1136","","","","","","","","","","","CABJIOEI_01570","","","LGGGIJGP_03165","","","","",""
"adiC_1","","Arginine/agmatine antiporter","2","2","1","1","1524","1","7819","","434","1070","752","","","","","","","","","","","CABJIOEI_01579","","","LGGGIJGP_02120","","","","",""
"deoR_1","","Deoxyribose operon repressor","2","2","1","1","3370","1","4628","","407","608","507","","","","","","","","","","","CABJIOEI_01583","","","LGGGIJGP_01061","","","","",""
"yeeO","","Multidrug resistance protein MdtF","2","2","1","1","1527","1","6856","","647","1754","1200","","","","","","","","","","","CABJIOEI_01599","","","LGGGIJGP_03163","","","","",""
"group_2489","","hypothetical protein","2","2","1","1","4312","1","45","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","254","1043","648","","","","","","","","","","","CABJIOEI_01621","","","LGGGIJGP_03974","","","","",""
"uidC","","Membrane-associated protein UidC","2","2","1","1","5383","1","6265","","518","749","633","","","","","","","","","","","CABJIOEI_02737","","","LGGGIJGP_03722","","","","",""
"ypdF_1","","Aminopeptidase YpdF","2","2","1","1","5088","1","454","","614","1085","849","","","","","","","","","","","CABJIOEI_01639","","","LGGGIJGP_03437","","","","",""
"xthA_1","","Exodeoxyribonuclease III","2","2","1","1","5077","1","452","","353","1382","867","","","","","","","","","","","CABJIOEI_01641","","","LGGGIJGP_01037","","","","",""
"yhaK_1","","Pirin-like protein YhaK","2","2","1","1","1055","1","1775","","359","701","530","","","","","","","","","","","CABJIOEI_01651","","","LGGGIJGP_03616","","","","",""
"aspT_2","","Aspartate/alanine antiporter","2","2","1","1","4137","1","545","","503","1046","774","","","","","","","","","","","CABJIOEI_02042","","","LGGGIJGP_04191","","","","",""
"group_2508","","hypothetical protein","2","2","1","1","1191","1","3786","","212","692","452","","","","","","","","","","","CABJIOEI_04320","","","LGGGIJGP_02510","","","","",""
"bcsC_3","","Cellulose synthase operon protein C","2","2","1","1","6396","1","23","","995","1706","1350","","","","","","","","","","","CABJIOEI_03101","","","LGGGIJGP_02227","","","","",""
"group_2512","dnaK_2","Chaperone protein DnaK","2","2","1","1","4035","1","5928","","251","1097","674","","","","","","","","","","","CABJIOEI_01722","","","LGGGIJGP_00772","","","","",""
"citE_1","","Citrate lyase subunit beta","2","2","1","1","1126","1","1572","","296","908","602","","","","","","","","","","","CABJIOEI_02288","","","LGGGIJGP_02880","","","","",""
"citF","","Citrate lyase alpha chain","2","2","1","1","4033","1","5930","","635","1115","875","","","","","","","","","","","CABJIOEI_01724","","","LGGGIJGP_02879","","","","",""
"rdgB_1","","dITP/XTP pyrophosphatase","2","2","1","1","2681","1","1141","","188","554","371","","","","","","","","","","","CABJIOEI_01732","","","LGGGIJGP_02547","","","","",""
"purD_1","","Phosphoribosylamine--glycine ligase","2","2","1","1","5944","1","1540","","548","692","620","","","","","","","","","","","CABJIOEI_01749","","","LGGGIJGP_00629","","","","",""
"artP","","Arginine transport ATP-binding protein ArtP","2","2","1","1","2965","1","1656","","572","728","650","","","","","","","","","","","CABJIOEI_01764","","","LGGGIJGP_02335","","","","",""
"wecH","","O-acetyltransferase WecH","2","2","1","1","3739","1","6000","","620","995","807","","","","","","","","","","","CABJIOEI_04476","","","LGGGIJGP_02979","","","","",""
"acoD","","Acetaldehyde dehydrogenase 2","2","2","1","1","2552","1","4126","","263","905","584","","","","","","","","","","","","","","","","","BBPGNFAN_05527","JKFCCDBN_02860",""
"group_2531","","hypothetical protein","2","2","1","1","5219","1","7686","","341","1061","701","","","","","","","","","","","CABJIOEI_01777","","","LGGGIJGP_03918","","","","",""
"puuC_1","","Aldehyde dehydrogenase PuuC","2","2","1","1","5692","1","4624","","284","1487","885","","","","","","","","","","","CABJIOEI_01809","","","LGGGIJGP_00819","","","","",""
"amiB_2","","N-acetylmuramoyl-L-alanine amidase AmiB","2","2","1","1","2277","1","818","","191","1337","764","","","","","","","","","","","CABJIOEI_03592","","","LGGGIJGP_04087","","","","",""
"ftsK_1","","DNA translocase FtsK","2","2","1","1","6562","1","6268","","341","1688","1014","","","","","","","","","","","CABJIOEI_03870","","","LGGGIJGP_01605","","","","",""
"kefC_2","","Glutathione-regulated potassium-efflux system protein KefC","2","2","1","1","3077","1","2059","","779","1862","1320","","","","","","","","","","","CABJIOEI_01834","","","LGGGIJGP_04423","","","","",""
"ygcS_2","","Inner membrane metabolite transport protein YgcS","2","2","1","1","3075","1","2057","","473","1331","902","","","","","","","","","","","CABJIOEI_01836","","","LGGGIJGP_04425","","","","",""
"group_2549","bepA_2","Beta-barrel assembly-enhancing protease","2","2","1","1","5221","1","6377","","1076","1463","1269","","","","","","","","","","","CABJIOEI_01841","","","LGGGIJGP_03917","","","","",""
"group_255","ald1_1","Long-chain-aldehyde dehydrogenase","2","2","1","1","8666","1","2200","","776","1154","965","","","","","","","","","","","","","","","","BKCAIGBL_00034","","JKFCCDBN_02869",""
"pgm","","Phosphoglucomutase","2","2","1","1","1758","1","6626","","1442","1640","1541","","","","","","","","","","","CABJIOEI_01878","","","LGGGIJGP_04740","","","","",""
"sufD","","FeS cluster assembly protein SufD","2","2","1","1","4072","1","5923","","221","1271","746","","","","","","","","","","","CABJIOEI_01883","","","LGGGIJGP_00767","","","","",""
"codA_1","","Cytosine deaminase","2","2","1","1","6232","1","7634","","263","1094","678","","","","","","","","","","","CABJIOEI_01912","","","LGGGIJGP_00611","","","","",""
"group_2569","yhjX_1","putative MFS-type transporter YhjX","2","2","1","1","2633","1","1588","","497","1208","852","","","","","","","","","","","CABJIOEI_01927","","","LGGGIJGP_00102","","","","",""
"group_257","acoD_1","Aldehyde dehydrogenase B","2","2","1","1","2555","1","4184","","587","740","663","","","","","","","","","","","","GNFPCNDJ_00006","","","","BKCAIGBL_00014","","",""
"gabD_1","","Succinate-semialdehyde dehydrogenase [NADP(+)] GabD","2","2","1","1","933","1","5688","","548","1448","998","","","","","","","","","","","CABJIOEI_01958","","","LGGGIJGP_03547","","","","",""
"galK_2","","Galactokinase","2","2","1","1","4069","1","5029","","446","929","687","","","","","","","","","","","CABJIOEI_01967","","","LGGGIJGP_01781","","","","",""
"siaM_1","","Sialic acid TRAP transporter large permease protein SiaM","2","2","1","1","3089","1","4996","","191","1277","734","","","","","","","","","","","CABJIOEI_01969","","","LGGGIJGP_03887","","","","",""
"xylG_2","","Xylose import ATP-binding protein XylG","2","2","1","1","3455","1","5994","","773","1541","1157","","","","","","","","","","","CABJIOEI_04482","","","LGGGIJGP_04365","","","","",""
"xylH","","Xylose transport system permease protein XylH","2","2","1","1","2612","1","5993","","482","1181","831","","","","","","","","","","","CABJIOEI_01989","","","LGGGIJGP_04366","","","","",""
"ygeX_2","","Diaminopropionate ammonia-lyase","2","2","1","1","1934","1","2376","","668","1196","932","","","","","","","","","","","CABJIOEI_02006","","","LGGGIJGP_02814","","","","",""
"ycjP_1","","Inner membrane ABC transporter permease protein YcjP","2","2","1","1","1521","1","347","","467","842","654","","","","","","","","","","","CABJIOEI_03055","","","LGGGIJGP_02123","","","","",""
"group_2604","galM_2","Aldose 1-epimerase","2","2","1","1","4145","1","2075","","344","872","608","","","","","","","","","","","CABJIOEI_02037","","","LGGGIJGP_02032","","","","",""
"fadE_3","","Acyl-coenzyme A dehydrogenase","2","2","1","1","5243","1","406","","251","1583","917","","","","","","","","","","","CABJIOEI_02047","","","LGGGIJGP_04751","","","","",""
"group_2610","metN_1","Methionine import ATP-binding protein MetN","2","2","1","1","1514","1","5730","","791","1031","911","","","","","","","","","","","CABJIOEI_02084","","","LGGGIJGP_01742","","","","",""
"group_2612","rluA_1","D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase","2","2","1","1","1513","1","5731","","575","1157","866","","","","","","","","","","","CABJIOEI_02085","","","LGGGIJGP_01743","","","","",""
"group_2614","pqiB_2","Paraquat-inducible protein B","2","2","1","1","2224","1","7239","","668","1508","1088","","","","","","","","","","","CABJIOEI_02096","","","LGGGIJGP_03459","","","","",""
"nhaB_2","","Na(+)/H(+) antiporter NhaB","2","2","1","1","1942","1","332","","896","1541","1218","","","","","","","","","","","CABJIOEI_02993","","","LGGGIJGP_04640","","","","",""
"dppB_2","","Dipeptide transport system permease protein DppB","2","2","1","1","4496","1","2409","","179","857","518","","","","","","","","","","","CABJIOEI_02147","","","LGGGIJGP_04395","","","","",""
"php","","Phosphotriesterase homology protein","2","2","1","1","4485","1","1998","","602","878","740","","","","","","","","","","","CABJIOEI_02155","","","LGGGIJGP_02491","","","","",""
"uvrD_2","","DNA helicase II","2","2","1","1","3026","1","6335","","482","1544","1013","","","","","","","","","","","CABJIOEI_02229","","","LGGGIJGP_03276","","","","",""
"group_2630","adhB_1","Alcohol dehydrogenase 2","2","2","1","1","6277","1","6312","","575","1031","803","","","","","","","","","","","CABJIOEI_02242","","","LGGGIJGP_00890","","","","",""
"ribF_1","","Putative riboflavin biosynthesis protein RibF","2","2","1","1","5451","1","6022","","509","941","725","","","","","","","","","","","CABJIOEI_02271","","","LGGGIJGP_01629","","","","",""
"group_2643","rcsC","Sensor histidine kinase RcsC","2","2","1","1","2926","1","321","","848","1469","1158","","","","","","","","","","","CABJIOEI_02277","","","LGGGIJGP_02008","","","","",""
"pheP","","Phenylalanine-specific permease","2","2","1","1","5331","1","2123","","191","1349","770","","","","","","","","","","","CABJIOEI_02310","","","LGGGIJGP_02478","","","","",""
"recO_1","","DNA repair protein RecO","2","2","1","1","4309","1","2143","","560","728","644","","","","","","","","","","","CABJIOEI_02316","","","LGGGIJGP_01126","","","","",""
"yhhW_1","","Quercetin 2,3-dioxygenase","2","2","1","1","2025","1","2149","","362","695","528","","","","","","","","","","","CABJIOEI_02321","","","LGGGIJGP_01466","","","","",""
"yhhX","","putative oxidoreductase YhhX","2","2","1","1","4211","1","2148","","317","1037","677","","","","","","","","","","","CABJIOEI_02322","","","LGGGIJGP_01465","","","","",""
"yqjF","","Inner membrane protein YqjF","2","2","1","1","6876","1","5677","","380","482","431","","","","","","","","","","","CABJIOEI_03854","","","LGGGIJGP_02093","","","","",""
"glpA","","Anaerobic glycerol-3-phosphate dehydrogenase subunit A","2","2","1","1","4831","1","3902","","887","1628","1257","","","","","","","","","","","CABJIOEI_02359","","","LGGGIJGP_04528","","","","",""
"group_2669","glpT_1","Glycerol-3-phosphate transporter","2","2","1","1","4830","1","3903","","233","1358","795","","","","","","","","","","","CABJIOEI_02360","","","LGGGIJGP_04529","","","","",""
"group_2672","mnmC_2","tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC","2","2","1","1","4374","1","4712","","245","1610","927","","","","","","","","","","","CABJIOEI_02548","","","LGGGIJGP_01833","","","","",""
"lpxT_2","","Lipid A 1-diphosphate synthase","2","2","1","1","2097","1","4082","","143","935","539","","","","","","","","","","","CABJIOEI_02372","","","LGGGIJGP_02717","","","","",""
"pspF_1","","Psp operon transcriptional activator","2","2","1","1","3999","1","244","","278","977","627","","","","","","","","","","","CABJIOEI_02381","","","LGGGIJGP_04432","","","","",""
"rhlB_2","","ATP-dependent RNA helicase RhlB","2","2","1","1","4816","1","3192","","581","1433","1007","","","","","","","","","","","CABJIOEI_02403","","","LGGGIJGP_01622","","","","",""
"group_2682","mdtB_1","Multidrug resistance protein MdtB","2","2","1","1","6046","1","663","","521","2276","1398","","","","","","","","","","","CABJIOEI_02418","","","LGGGIJGP_04733","","","","",""
"steT_1","","Serine/threonine exchanger SteT","2","2","1","1","6057","1","653","","1055","1337","1196","","","","","","","","","","","CABJIOEI_02420","","","LGGGIJGP_02900","","","","",""
"yghU","","Disulfide-bond oxidoreductase YghU","2","2","1","1","6914","1","6361","","524","956","740","","","","","","","","","","","CABJIOEI_02440","","","LGGGIJGP_03784","","","","",""
"plsB_1","","Glycerol-3-phosphate acyltransferase","2","2","1","1","6235","1","7195","","275","1196","735","","","","","","","","","","","CABJIOEI_02443","","","LGGGIJGP_00614","","","","",""
"tyrP_1","","Tyrosine-specific transport protein","2","2","1","1","3863","1","1033","","941","1142","1041","","","","","","","","","","","CABJIOEI_02461","","","LGGGIJGP_04383","","","","",""
"rsmI_1","","Ribosomal RNA small subunit methyltransferase I","2","2","1","1","1444","1","1690","","860","923","891","","","","","","","","","","","CABJIOEI_02475","","","LGGGIJGP_02502","","","","",""
"nuoF_2","","NADH-quinone oxidoreductase subunit F","2","2","1","1","1082","1","628","","1268","1337","1302","","","","","","","","","","","CABJIOEI_02480","","","LGGGIJGP_01965","","","","",""
"appB","","Cytochrome bd-II ubiquinol oxidase subunit 2","2","2","1","1","2263","1","1836","","227","1238","732","","","","","","","","","","","CABJIOEI_04576","","","LGGGIJGP_02057","","","","",""
"rffH","","Glucose-1-phosphate thymidylyltransferase 2","2","2","1","1","3394","1","4099","","374","881","627","","","","","","","","","","","CABJIOEI_02528","","","LGGGIJGP_01673","","","","",""
"cbl","","HTH-type transcriptional regulator cbl","2","2","1","1","5652","1","4101","","878","1091","984","","","","","","","","","","","CABJIOEI_02529","","","LGGGIJGP_04690","","","","",""
"yidK","","putative symporter YidK","2","2","1","1","5645","1","7418","","269","1715","992","","","","","","","","","","","CABJIOEI_03850","","","LGGGIJGP_04698","","","","",""
"asnA_1","","Aspartate--ammonia ligase","2","2","1","1","2116","1","5718","","707","992","849","","","","","","","","","","","CABJIOEI_02561","","","LGGGIJGP_03089","","","","",""
"metB","","Cystathionine gamma-synthase","2","2","1","1","1928","1","2380","","314","1160","737","","","","","","","","","","","CABJIOEI_02571","","","LGGGIJGP_02810","","","","",""
"group_2723","epsF_2","Type II secretion system protein F","2","2","1","1","4872","1","4388","","476","1202","839","","","","","","","","","","","CABJIOEI_02604","","","LGGGIJGP_01166","","","","",""
"ubiH_1","","2-octaprenyl-6-methoxyphenol hydroxylase","2","2","1","1","5874","1","6092","","329","1178","753","","","","","","","","","","","CABJIOEI_02636","","","LGGGIJGP_01505","","","","",""
"pepP_2","","Xaa-Pro aminopeptidase","2","2","1","1","5873","1","6091","","977","1136","1056","","","","","","","","","","","CABJIOEI_02637","","","LGGGIJGP_01506","","","","",""
"group_2735","arnT_1","Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase","2","2","1","1","2505","1","2511","","1082","1652","1367","","","","","","","","","","","CABJIOEI_02643","","","LGGGIJGP_03483","","","","",""
"accA_2","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","2","2","1","1","6077","1","1529","","560","959","759","","","","","","","","","","","CABJIOEI_02645","","","LGGGIJGP_03568","","","","",""
"recR_2","","Recombination protein RecR","2","2","1","1","6355","1","1523","","242","605","423","","","","","","","","","","","CABJIOEI_02651","","","LGGGIJGP_01925","","","","",""
"dadX_1","","Alanine racemase, catabolic","2","2","1","1","5528","1","6506","","1070","1289","1179","","","","","","","","","","","CABJIOEI_02660","","","LGGGIJGP_04357","","","","",""
"yegE_2","","putative diguanylate cyclase YegE","2","2","1","1","1300","1","6508","","1253","2597","1925","","","","","","","","","","","CABJIOEI_02662","","","LGGGIJGP_02445","","","","",""
"group_2746","","hypothetical protein","2","2","1","1","2313","1","6789","","413","953","683","","","","","","","","","","","CABJIOEI_02676","","","LGGGIJGP_01411","","","","",""
"ydhV","","putative oxidoreductase YdhV","2","2","1","1","5031","1","835","","413","2102","1257","","","","","","","","","","","CABJIOEI_02690","","","LGGGIJGP_01556","","","","",""
"glcR","","Lactose phosphotransferase system repressor","2","2","1","1","2258","1","942","","389","767","578","","","","","","","","","","","CABJIOEI_02701","","","LGGGIJGP_02052","","","","",""
"bioA_2","","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","2","2","1","1","6082","1","1585","","611","1109","860","","","","","","","","","","","CABJIOEI_04343","","","LGGGIJGP_01768","","","","",""
"hslO_1","","33 kDa chaperonin","2","2","1","1","5379","1","4575","","479","878","678","","","","","","","","","","","CABJIOEI_02734","","","LGGGIJGP_02659","","","","",""
"ispG_1","","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)","2","2","1","1","2982","1","121","","227","1118","672","","","","","","","","","","","CABJIOEI_02771","","","LGGGIJGP_03747","","","","",""
"dauA_1","","C4-dicarboxylic acid transporter DauA","2","2","1","1","6710","1","2324","","1052","1652","1352","","","","","","","","","","","CABJIOEI_02797","","","LGGGIJGP_03454","","","","",""
"gabT_2","","4-aminobutyrate aminotransferase GabT","2","2","1","1","4460","1","5689","","533","1280","906","","","","","","","","","","","CABJIOEI_02809","","","LGGGIJGP_03546","","","","",""
"yfcS_2","","putative fimbrial chaperone YfcS","2","2","1","1","5291","1","6134","","371","752","561","","","","","","","","","","","CABJIOEI_02821","","","LGGGIJGP_02231","","","","",""
"yddA_1","","Inner membrane ABC transporter ATP-binding protein YddA","2","2","1","1","5285","1","6136","","1280","1685","1482","","","","","","","","","","","CABJIOEI_02823","","","LGGGIJGP_03775","","","","",""
"group_2774","phnC_1","Phosphate-import ATP-binding protein PhnC","2","2","1","1","820","1","926","","308","788","548","","","","","","","","","","","CABJIOEI_02837","","","LGGGIJGP_02425","","","","",""
"yfeZ","","Inner membrane protein YfeZ","2","2","1","1","3929","1","2424","","347","1355","851","","","","","","","","","","","CABJIOEI_04552","","","LGGGIJGP_01133","","","","",""
